Name,Total Service Points Won,Total Return Points Won
Carlos Alcaraz,0.66,0.42
Andrey Rublev,0.65,0.39
Jannik Sinner,0.66,0.4
Daniil Medvedev,0.66,0.4
Christopher Eubanks,0.66,0.3
Alejandro Davidovich Fokina,0.61,0.39
Jiri Lehecka,0.64,0.35
Daniel Elahi Galan,0.61,0.37
Denis Shapovalov,0.66,0.36
Grigor Dimitrov,0.66,0.37
Hubert Hurkacz,0.67,0.35
Alexander Zverev,0.66,0.38
Lorenzo Musetti,0.63,0.38
Roman Safiullin,0.66,0.36
Laslo Djere,0.63,0.36
Alexander Bublik,0.64,0.35
Guido Pella,0.62,0.37
Stan Wawrinka,0.65,0.37
Frances Tiafoe,0.65,0.35
Novak Djokovic,0.68,0.42
Holger Rune,0.65,0.37
Stefanos Tsitsipas,0.68,0.36
Matteo Berrettini,0.69,0.35
Tommy Paul,0.64,0.38
Mikael Ymer,0.59,0.39
Nicolas Jarry,0.66,0.34
David Goffin,0.62,0.4
Liam Broady,0.6,0.36
Marton Fuscovics,0.62,0.39
Christopher O'Connell,0.64,0.34
Quentin Halys,0.65,0.33
Maximillian Marterer,0.64,0.32
